GCF_000006645_00001 mioC
GCF_000006645_03023 bioB
GCF_000006645_03024 bioA
GCF_000006645_03025 pgl
GCF_000006645_03026 ybhA
GCF_000006645_03027 cysA_1
GCF_000006645_03028 modB
GCF_000006645_03029 modA
GCF_000006645_03030 acrZ
GCF_000006645_03031 modE
GCF_000006645_03032 modF
GCF_000006645_03033 group_2637
GCF_000006645_03034 group_2638
GCF_000006645_03035 galE
GCF_000006645_03036 galT
GCF_000006645_03037 galK
GCF_000006645_03038 galM
GCF_000006645_03039 group_2645
GCF_000006645_03040 psiF
GCF_000006645_03041 gpmA
GCF_000006645_03042 aroG
GCF_000006645_03043 group_4503
GCF_000006645_03044 zitB
GCF_000006645_03045 pnuC
GCF_000006645_03046 nadA
GCF_000006645_03049 cpoB
GCF_000006645_03050 pal_3
GCF_000006645_03051 tolB_2
GCF_000006645_03052 tolA
GCF_000006645_03053 tolR
GCF_000006645_03054 tolQ_1
GCF_000006645_03055 ybgC
GCF_000006645_03056 group_3558
GCF_000006645_03057 group_7968
GCF_000006645_03058 cydB
GCF_000006645_03059 cydA
GCF_000006645_03060 sucD
GCF_000006645_03061 sucC
GCF_000006645_03062 sucB
GCF_000006645_03063 sucA
GCF_000006645_03064 sdhB
GCF_000006645_03065 sdhA
GCF_000006645_03066 sdhD
GCF_000006645_03067 sdhC
GCF_000006645_03068 gltA
GCF_000006645_03069 grpE
GCF_000006645_03070 nadK
GCF_000006645_03071 recN
GCF_000006645_03072 bamE
GCF_000006645_03073 group_9788
GCF_000006645_03074 pasT
GCF_000006645_03075 smpB
GCF_000006645_03078 group_804
GCF_000006645_03079 group_4505
GCF_000006645_03080 group_2655
GCF_000006645_03081 group_4506
GCF_000006645_03082 group_4507
GCF_000006645_03083 group_4508
GCF_000006645_03084 group_4509
GCF_000006645_03085 group_4510
GCF_000006645_03086 group_3561
GCF_000006645_03087 group_4511
GCF_000006645_03088 group_3562
GCF_000006645_03089 group_93
GCF_000006645_03092 group_2229
GCF_000006645_03093 group_1070
GCF_000006645_03094 pucI
GCF_000006645_03096 dnaQ
GCF_000006645_03097 rnhA
GCF_000006645_03098 group_2660
GCF_000006645_03099 gloB
GCF_000006645_03100 mltD
GCF_000006645_03101 group_8317
GCF_000006645_03102 group_2663
GCF_000006645_03103 dkgB
GCF_000006645_03109 gmhB
GCF_000006645_03110 metN_2
GCF_000006645_03111 metI_2
GCF_000006645_03112 metQ_2
GCF_000006645_03113 rcsF
GCF_000006645_03114 trmO
GCF_000006645_03115 proS
GCF_000006645_03116 nlpE
GCF_000006645_03117 arfB
GCF_000006645_03118 yaeQ
GCF_000006645_03119 group_8145
GCF_000006645_03120 rof
GCF_000006645_03121 group_9645
GCF_000006645_03122 tilS
GCF_000006645_03123 group_9308
GCF_000006645_03124 accA
GCF_000006645_03125 dnaE
GCF_000006645_03126 rnhB
GCF_000006645_03127 lpxB
GCF_000006645_03128 lpxA
GCF_000006645_03129 fabZ
GCF_000006645_03130 lpxD
GCF_000006645_03131 skp
GCF_000006645_03132 bamA
GCF_000006645_03133 rseP
GCF_000006645_03134 cdsA
GCF_000006645_03135 ispU
GCF_000006645_03136 dxr
GCF_000006645_03137 frr
GCF_000006645_03138 pyrH
GCF_000006645_03139 tsf
GCF_000006645_03140 rpsB
GCF_000006645_03141 map_2
GCF_000006645_03142 glnD
GCF_000006645_03143 dapD
GCF_000006645_03144 group_9069
GCF_000006645_03145 group_9684
GCF_000006645_03146 truC
GCF_000006645_03147 yqcC
GCF_000006645_03149 syd
GCF_000006645_03150 queF
GCF_000006645_03151 ppnN
GCF_000006645_03154 ygdG
GCF_000006645_03155 rlmM
GCF_000006645_03156 group_8056
GCF_000006645_03157 gcvA
GCF_000006645_03158 group_3567
GCF_000006645_03159 csdA
GCF_000006645_03160 csdE
GCF_000006645_03161 tcdA
GCF_000006645_03162 mltA
GCF_000006645_03165 amiC_2
GCF_000006645_03166 argA
GCF_000006645_03167 recD
GCF_000006645_03168 recB
GCF_000006645_03169 ptrA
GCF_000006645_03170 recC
GCF_000006645_03171 group_3569
GCF_000006645_03172 group_9676
GCF_000006645_03173 group_9463
GCF_000006645_03174 group_2678
GCF_000006645_03175 group_3570
GCF_000006645_03176 thyA
GCF_000006645_03177 lgt
GCF_000006645_03178 ptsP
GCF_000006645_03179 rppH_2
GCF_000006645_03180 mutH
GCF_000006645_03181 tas
GCF_000006645_03182 group_9874
GCF_000006645_03183 group_9872
GCF_000006645_03184 lplT
GCF_000006645_03185 aas
GCF_000006645_03186 dorA
GCF_000006645_03187 galR_2
GCF_000006645_03188 lysA
GCF_000006645_03189 occR
GCF_000006645_03190 ydhP
GCF_000006645_03191 dmlR_5
GCF_000006645_03192 group_3573
GCF_000006645_03193 group_3574
GCF_000006645_03194 tsr_2
GCF_000006645_03195 group_400
GCF_000006645_03196 cadC
GCF_000006645_03197 pulS
GCF_000006645_03198 outO
GCF_000006645_03199 group_3575
GCF_000006645_03200 epsL
GCF_000006645_03201 group_4512
GCF_000006645_03202 group_4513
GCF_000006645_03203 group_4514
GCF_000006645_03204 group_2686
GCF_000006645_03205 pulG
GCF_000006645_03206 group_839
GCF_000006645_03207 gspF
GCF_000006645_03208 epsE
GCF_000006645_03209 pulD
GCF_000006645_03210 group_3578
GCF_000006645_03211 group_3579
GCF_000006645_03212 group_9369
GCF_000006645_03213 group_2689
GCF_000006645_03214 group_2691
GCF_000006645_03215 group_1800
GCF_000006645_03216 group_1358
GCF_000006645_03219 group_9393
GCF_000006645_03220 group_8398
GCF_000006645_03221 srlR_3
GCF_000006645_03222 kbaZ
GCF_000006645_03223 agaS
GCF_000006645_03224 manX_2
GCF_000006645_03225 agaC
GCF_000006645_03226 manZ_1
GCF_000006645_03227 manX_1
GCF_000006645_03228 agaA
GCF_000006645_03229 kduD_2
GCF_000006645_03230 group_9687
GCF_000006645_03231 chuR_1
GCF_000006645_03232 group_8771
GCF_000006645_03233 group_2700
GCF_000006645_03234 gatY
GCF_000006645_03235 yajL_2
GCF_000006645_03236 group_3580
GCF_000006645_03237 cytR_1
GCF_000006645_03238 exuT_1
GCF_000006645_03239 group_9612
GCF_000006645_03240 lacI
GCF_000006645_03241 lamB_2
GCF_000006645_03242 ptsG_1
GCF_000006645_03243 bglY
GCF_000006645_03244 ganB
GCF_000006645_03245 group_2707
GCF_000006645_03246 group_3581
GCF_000006645_03247 cycB
GCF_000006645_03248 malK_2
GCF_000006645_03249 rbsA_6
GCF_000006645_03250 rbsC_5
GCF_000006645_03251 purR_2
GCF_000006645_03252 group_2711
GCF_000006645_03253 group_9254
GCF_000006645_03254 group_9157
GCF_000006645_03255 group_9421
GCF_000006645_03256 group_3583
GCF_000006645_03257 group_9771
GCF_000006645_03258 group_3584
GCF_000006645_03259 group_3585
GCF_000006645_03260 group_9709
GCF_000006645_03261 group_3586
GCF_000006645_03262 group_4516
GCF_000006645_03263 group_4517
GCF_000006645_03264 group_9424
GCF_000006645_03265 group_8882
GCF_000006645_03266 group_1360
GCF_000006645_03267 group_1362
GCF_000006645_03268 group_3587
GCF_000006645_03269 group_9944
GCF_000006645_03270 group_843
GCF_000006645_03271 mqsA
GCF_000006645_03272 mqsR
GCF_000006645_03273 group_3588
GCF_000006645_03274 group_3590
GCF_000006645_03275 group_2712
GCF_000006645_03276 intS_2
GCF_000006645_03278 lysS
GCF_000006645_03279 prfB
GCF_000006645_03280 recJ
GCF_000006645_03281 dsbC
GCF_000006645_03282 xerD
GCF_000006645_03283 fldB
GCF_000006645_03284 creD
GCF_000006645_03285 creC
GCF_000006645_03286 creB
GCF_000006645_03287 sdhE
GCF_000006645_03288 ygfZ
GCF_000006645_03289 group_2713
GCF_000006645_03290 group_9840
GCF_000006645_03291 group_1806
GCF_000006645_03292 ehaG
GCF_000006645_03293 group_2715
GCF_000006645_03294 group_1808
GCF_000006645_03295 gcvP
GCF_000006645_03296 gcvH
GCF_000006645_03297 gcvT
GCF_000006645_03298 ubiI
GCF_000006645_03299 ubiH
GCF_000006645_03300 pepP
GCF_000006645_03301 group_8193
GCF_000006645_03302 zapA
GCF_000006645_03303 ygfA
GCF_000006645_03304 serA
GCF_000006645_03305 rpiA_2
GCF_000006645_03306 argP
GCF_000006645_03307 group_9595
GCF_000006645_03308 argO
GCF_000006645_03309 mscS
GCF_000006645_03310 fbaA_2
GCF_000006645_03311 pgk
GCF_000006645_03312 epd
GCF_000006645_03313 group_250
GCF_000006645_03314 tktA
GCF_000006645_03315 loiP
GCF_000006645_03316 todB
GCF_000006645_03317 speA
GCF_000006645_03318 group_8025
GCF_000006645_03319 metK
GCF_000006645_03320 sprT
GCF_000006645_03321 nucM
GCF_000006645_03322 rsmE
GCF_000006645_03323 gshB
GCF_000006645_03324 group_9584
GCF_000006645_03325 yqgF
GCF_000006645_03326 group_3600
GCF_000006645_03327 aguA
GCF_000006645_03328 yggR
GCF_000006645_03329 yggS
GCF_000006645_03330 proC
GCF_000006645_03331 group_4519
GCF_000006645_03332 group_1811
GCF_000006645_03333 rdgB
GCF_000006645_03334 hemW
GCF_000006645_03335 group_424
GCF_000006645_03336 group_2723
GCF_000006645_03337 group_2725
GCF_000006645_03338 glsA2
GCF_000006645_03339 group_8209
GCF_000006645_03340 trmB
GCF_000006645_03341 mutY
GCF_000006645_03342 yggX
GCF_000006645_03343 mltC
GCF_000006645_03344 group_2726
GCF_000006645_03345 cntO
GCF_000006645_03346 rbsC_11
GCF_000006645_03347 mglA_4
GCF_000006645_03348 group_9181
GCF_000006645_03349 speC
GCF_000006645_03351 xerC_2
GCF_000006645_03352 group_1363
GCF_000006645_03353 group_2727
GCF_000006645_03354 group_9852
GCF_000006645_03355 group_2729
GCF_000006645_03356 group_737
GCF_000006645_03357 group_374
GCF_000006645_03358 group_4520
GCF_000006645_03359 group_3604
GCF_000006645_03360 group_377
GCF_000006645_03361 clpV1_4
GCF_000006645_03362 hcpA_7
GCF_000006645_03363 pal_4
GCF_000006645_03364 group_8542
GCF_000006645_03365 group_9755
GCF_000006645_03366 group_9656
GCF_000006645_03367 group_8878
GCF_000006645_03368 group_3605
GCF_000006645_03369 group_4521
GCF_000006645_03370 group_4522
GCF_000006645_03371 group_4523
GCF_000006645_03372 group_4524
GCF_000006645_03373 group_3606
GCF_000006645_03374 esaI_1
GCF_000006645_03375 esaR_2
GCF_000006645_03376 group_2731
GCF_000006645_03377 group_4527
GCF_000006645_03378 group_3607
GCF_000006645_03379 iucA_2
GCF_000006645_03380 iucA_1
GCF_000006645_03381 iucB_1
GCF_000006645_03382 iucC_1
GCF_000006645_03383 iucD_2
GCF_000006645_03384 iutA
GCF_000006645_03385 xylP
GCF_000006645_03386 group_9103
GCF_000006645_03387 group_8435
GCF_000006645_03388 group_844
GCF_000006645_03389 group_846
GCF_000006645_03390 bepF
GCF_000006645_03391 bepG
GCF_000006645_03392 group_6235
GCF_000006645_03393 group_1371
GCF_000006645_03394 group_498
GCF_000006645_03395 slrP_2
GCF_000006645_03396 slrP_1
GCF_000006645_03397 group_4838
GCF_000006645_03398 group_2733
GCF_000006645_03399 pepT_2
GCF_000006645_03400 fyuA
GCF_000006645_03401 menE_2
GCF_000006645_03403 group_8659
GCF_000006645_03404 group_415
GCF_000006645_03405 group_419
GCF_000006645_03406 dltA_2
GCF_000006645_03407 group_1076
GCF_000006645_03408 group_4531
GCF_000006645_03409 pikAV
GCF_000006645_03410 group_1372
GCF_000006645_03411 group_159
GCF_000006645_03412 msbA_2
GCF_000006645_03413 group_1812
GCF_000006645_03414 group_4532
GCF_000006645_03415 group_4533
GCF_000006645_03416 gntP_2
GCF_000006645_03417 group_339
GCF_000006645_03418 group_335
GCF_000006645_03420 group_2941
GCF_000006645_03421 group_3613
GCF_000006645_03422 group_409
GCF_000006645_03423 group_3614
GCF_000006645_03424 group_3615
GCF_000006645_03425 sdcS
GCF_000006645_03426 cytR_2
GCF_000006645_03427 group_742
GCF_000006645_03428 group_745
GCF_000006645_03429 group_8425
GCF_000006645_03430 group_9110
GCF_000006645_03431 fliC
GCF_000006645_03432 group_1939
GCF_000006645_03433 group_2741
GCF_000006645_03434 group_1373
GCF_000006645_03435 flgL_2
GCF_000006645_03436 group_1080
GCF_000006645_03437 group_2742
GCF_000006645_03438 flgI_2
GCF_000006645_03439 flgH_2
GCF_000006645_03440 flgG_2
GCF_000006645_03441 flgF_2
GCF_000006645_03442 flgE_2
GCF_000006645_03443 group_3616
GCF_000006645_03444 flgC_2
GCF_000006645_03445 flgB_2
GCF_000006645_03446 group_1469
GCF_000006645_03447 group_1084
GCF_000006645_03448 group_2744
GCF_000006645_03449 group_2745
GCF_000006645_03450 group_4537
GCF_000006645_03451 group_3617
GCF_000006645_03452 fliG_1
GCF_000006645_03453 fliF_1
GCF_000006645_03454 fliE_1
GCF_000006645_03455 atoC
GCF_000006645_03456 group_1086
GCF_000006645_03457 group_4540
GCF_000006645_03458 fliP_2
GCF_000006645_03459 group_2746
GCF_000006645_03460 fliR_2
GCF_000006645_03461 flhB_1
GCF_000006645_03462 flhA_2
GCF_000006645_03463 flhA_3
GCF_000006645_03464 group_4542
GCF_000006645_03465 group_1090
GCF_000006645_03466 fepB
GCF_000006645_03467 group_1377
GCF_000006645_03468 papD_2
GCF_000006645_03469 papC_1
GCF_000006645_03471 group_4543
GCF_000006645_03472 group_3623
GCF_000006645_03473 group_847
GCF_000006645_03474 group_848
GCF_000006645_03475 group_3624
GCF_000006645_03476 group_2748
GCF_000006645_03477 group_4544
GCF_000006645_03478 group_3625
GCF_000006645_03479 group_2749
GCF_000006645_03480 group_2750
GCF_000006645_03481 group_3754
GCF_000006645_03482 group_1819
GCF_000006645_03483 group_2752
GCF_000006645_03484 group_4545
GCF_000006645_03485 exbD
GCF_000006645_03486 tolQ_2
GCF_000006645_03487 metC_1
GCF_000006645_03488 yghB
GCF_000006645_03489 rhaS_1
GCF_000006645_03490 yqhD
GCF_000006645_03491 dkgA
GCF_000006645_03492 group_1820
GCF_000006645_03493 group_1823
GCF_000006645_03494 ftsP
GCF_000006645_03495 plsC
GCF_000006645_03496 parC
GCF_000006645_03497 mdaB
GCF_000006645_03498 dmlR_6
GCF_000006645_03499 parE
GCF_000006645_03500 group_9490
GCF_000006645_03501 cpdA
GCF_000006645_03502 group_8306
GCF_000006645_03503 nudF
GCF_000006645_03504 tolC
GCF_000006645_03505 group_3629
GCF_000006645_03506 group_8905
GCF_000006645_03507 ygiC
GCF_000006645_03508 ygiD
GCF_000006645_03509 ribB
GCF_000006645_03510 group_4548
GCF_000006645_03511 ubiK
GCF_000006645_03512 yjeH
GCF_000006645_03513 hldE
GCF_000006645_03514 glnE
GCF_000006645_03515 ygiF
GCF_000006645_03516 group_9415
GCF_000006645_03517 cca
GCF_000006645_03518 uppP
GCF_000006645_03519 folB
GCF_000006645_03520 plsY
GCF_000006645_03521 tsaD
GCF_000006645_03522 rpsU
GCF_000006645_03523 dnaG
GCF_000006645_03524 rpoD
GCF_000006645_03526 group_455
GCF_000006645_03527 group_449
GCF_000006645_03528 group_4549
GCF_000006645_03529 group_4550
GCF_000006645_03530 group_588
GCF_000006645_03531 group_4551
GCF_000006645_03532 group_4552
GCF_000006645_03533 group_4553
GCF_000006645_03534 vbhT
GCF_000006645_03535 group_3632
GCF_000006645_03536 group_197
GCF_000006645_03537 ydhR
GCF_000006645_03538 rutC
GCF_000006645_03539 yabJ_2
GCF_000006645_03540 group_3633
GCF_000006645_03541 group_4557
GCF_000006645_03542 group_945
GCF_000006645_03543 hisC_1
GCF_000006645_03544 group_4558
GCF_000006645_03545 group_4559
GCF_000006645_03546 mdtN
GCF_000006645_03547 group_2757
GCF_000006645_03548 ttgC
GCF_000006645_03549 group_1378
GCF_000006645_03550 group_1832
GCF_000006645_03551 group_8733
GCF_000006645_03552 araP
GCF_000006645_03553 group_8951
GCF_000006645_03554 exuR
GCF_000006645_03555 group_2761
GCF_000006645_03556 msmX_2
GCF_000006645_03557 group_3635
GCF_000006645_03558 group_947
GCF_000006645_03559 group_948
GCF_000006645_03560 group_9724
GCF_000006645_03561 group_205
GCF_000006645_03562 group_4560
GCF_000006645_03563 group_4561
GCF_000006645_03564 group_2763
GCF_000006645_03565 cdiA2_1
GCF_000006645_03566 shlB_3
GCF_000006645_03567 group_4562
GCF_000006645_03568 yceC_1
GCF_000006645_03569 group_4564
GCF_000006645_03570 group_1091
GCF_000006645_03571 group_3636
GCF_000006645_03572 group_3637
GCF_000006645_03573 hdeD
GCF_000006645_03574 fadH
GCF_000006645_03575 rlmG
GCF_000006645_03576 group_483
GCF_000006645_03577 ygjP
GCF_000006645_03578 iolU
GCF_000006645_03579 sstT
GCF_000006645_03580 group_256
GCF_000006645_03582 ygjV
GCF_000006645_03583 uxaA
GCF_000006645_03584 uxaB_2
GCF_000006645_03585 uxaC
GCF_000006645_03586 exuT_2
GCF_000006645_03587 lutR_2
GCF_000006645_03588 group_9812
GCF_000006645_03589 yqjA
GCF_000006645_03590 mzrA
GCF_000006645_03591 yqjC
GCF_000006645_03592 yqjD_2
GCF_000006645_03593 yqjE
GCF_000006645_03594 group_9749
GCF_000006645_03595 yqjF
GCF_000006645_03596 lagD
GCF_000006645_03599 mutT
GCF_000006645_03600 secA
GCF_000006645_03601 secM
GCF_000006645_03602 group_8097
GCF_000006645_03603 lpxC
GCF_000006645_03604 ftsZ
GCF_000006645_03605 ftsA
GCF_000006645_03606 ftsQ
GCF_000006645_03607 ddl
GCF_000006645_03608 murC
GCF_000006645_03609 murG
GCF_000006645_03610 ftsW
GCF_000006645_03611 murD
GCF_000006645_03612 mraY
GCF_000006645_03613 murF
GCF_000006645_03614 murE
GCF_000006645_03615 ftsI
GCF_000006645_03616 ftsL
GCF_000006645_03617 rsmH
GCF_000006645_03618 mraZ
GCF_000006645_03619 alaE
GCF_000006645_03620 cra
GCF_000006645_03622 ilvH
GCF_000006645_03623 ilvI
GCF_000006645_03624 group_9600
GCF_000006645_03625 leuO
GCF_000006645_03626 group_3643
GCF_000006645_03628 leuA
GCF_000006645_03629 leuB
GCF_000006645_03630 leuC
GCF_000006645_03631 leuD1
GCF_000006645_03632 setA
GCF_000006645_03633 sgrR_2
GCF_000006645_03634 group_2776
GCF_000006645_03635 thiB
GCF_000006645_03636 group_9352
GCF_000006645_03637 thiQ
GCF_000006645_03638 yabI_1
GCF_000006645_03639 polB
GCF_000006645_03640 rapA
GCF_000006645_03641 group_9475
GCF_000006645_03642 group_2777
GCF_000006645_03643 group_552
GCF_000006645_03644 group_555
GCF_000006645_03645 group_9718
GCF_000006645_03646 group_4565
GCF_000006645_03647 group_3644
GCF_000006645_03648 group_3645
GCF_000006645_03649 group_1382
GCF_000006645_03650 group_143
GCF_000006645_03651 clpV1_1
GCF_000006645_03652 group_2781
GCF_000006645_03653 group_8837
GCF_000006645_03654 group_8133
GCF_000006645_03655 hcp1_2
GCF_000006645_03656 group_1385
GCF_000006645_03657 group_9070
GCF_000006645_03658 group_2782
GCF_000006645_03659 group_2784
GCF_000006645_03660 rluA
GCF_000006645_03661 djlA
GCF_000006645_03662 lptD
GCF_000006645_03663 surA
GCF_000006645_03664 pdxA
GCF_000006645_03665 rsmA
GCF_000006645_03666 apaG
GCF_000006645_03667 apaH
GCF_000006645_03668 group_2787
GCF_000006645_03669 group_8987
GCF_000006645_03670 group_8277
GCF_000006645_03671 group_3876
GCF_000006645_03672 yjjP
GCF_000006645_03673 rhtC_1
GCF_000006645_03674 carB
GCF_000006645_03675 carA
GCF_000006645_03676 dapB
GCF_000006645_03677 group_8983
GCF_000006645_03678 ispH
GCF_000006645_03679 fkpB
GCF_000006645_03680 lspA
GCF_000006645_03681 ileS
GCF_000006645_03682 ribF
GCF_000006645_03683 rpsT
GCF_000006645_03684 nhaR
GCF_000006645_03685 nhaA
GCF_000006645_03686 dnaJ
GCF_000006645_03687 dnaK_2
GCF_000006645_03688 satP
GCF_000006645_03689 group_792
GCF_000006645_03690 proP_1
GCF_000006645_03691 mog
GCF_000006645_03692 tal
GCF_000006645_03693 yaaA
GCF_000006645_03694 group_3648
GCF_000006645_03695 thrC
GCF_000006645_03696 thrB
GCF_000006645_03697 thrA
GCF_000006645_03698 group_3649
GCF_000006645_03699 arcA
GCF_000006645_03700 group_9433
GCF_000006645_03701 group_8206
GCF_000006645_03702 rob_2
GCF_000006645_03703 pspB_2
GCF_000006645_03704 yjjX
GCF_000006645_03705 trpR
GCF_000006645_03706 slt
GCF_000006645_03707 ctpF
GCF_000006645_03708 group_8319
GCF_000006645_03709 dgcN
GCF_000006645_03710 pal_5
GCF_000006645_03711 group_885
GCF_000006645_03712 ettA
GCF_000006645_03714 group_8677
GCF_000006645_03715 ettA_3
GCF_000006645_03716 group_2791
GCF_000006645_03717 nadR
GCF_000006645_03718 group_2794
GCF_000006645_03719 radA
GCF_000006645_03720 serB
GCF_000006645_03721 ytjB
GCF_000006645_03722 deoD
GCF_000006645_03723 deoB
GCF_000006645_03724 deoA
GCF_000006645_03725 deoA_2
GCF_000006645_03726 deoC_3
GCF_000006645_03727 group_1096
GCF_000006645_03728 yjjV
GCF_000006645_03729 group_1973
GCF_000006645_03730 group_9952
GCF_000006645_03731 osmY
GCF_000006645_03732 prfC
GCF_000006645_03733 rimI
GCF_000006645_03734 holD
GCF_000006645_03735 rsmC
GCF_000006645_03737 group_5767
GCF_000006645_03738 dosC
GCF_000006645_03739 pemA
GCF_000006645_03740 group_8185
GCF_000006645_03741 czcA
GCF_000006645_03742 ttgD
GCF_000006645_03743 group_3653
GCF_000006645_03744 group_3654
GCF_000006645_03745 rfaQ
GCF_000006645_03746 lsrK
GCF_000006645_03747 lsrR_2
GCF_000006645_03748 group_1099
GCF_000006645_03749 lsrA
GCF_000006645_03750 lsrC
GCF_000006645_03751 lsrD_2
GCF_000006645_03752 lsrB_4
GCF_000006645_03753 lsrF
GCF_000006645_03754 lsrG
GCF_000006645_03755 group_9693
GCF_000006645_03756 fryA
GCF_000006645_03757 manP
GCF_000006645_03758 fryB
GCF_000006645_03759 frwD
GCF_000006645_03760 rhaR_1
GCF_000006645_03761 group_4569
GCF_000006645_03762 yjgN
GCF_000006645_03763 bepA_2
GCF_000006645_03764 group_4572
GCF_000006645_03765 group_748
GCF_000006645_03766 group_751
GCF_000006645_03767 group_4573
GCF_000006645_03768 group_4574
GCF_000006645_03769 group_332
GCF_000006645_03770 group_4575
GCF_000006645_03771 group_4754
GCF_000006645_03772 group_4576
GCF_000006645_03773 group_4577
GCF_000006645_03774 group_4578
GCF_000006645_03777 dtd
GCF_000006645_03778 group_9425
GCF_000006645_03779 yihX
GCF_000006645_03780 typA
GCF_000006645_03781 glnA
GCF_000006645_03782 glnL
GCF_000006645_03783 ntrC
GCF_000006645_03784 hemN
GCF_000006645_03785 yihI
GCF_000006645_03786 engB
GCF_000006645_03788 polA
GCF_000006645_03789 dsbA
GCF_000006645_03790 srkA
GCF_000006645_03791 yihD
GCF_000006645_03792 mobA
GCF_000006645_03793 mobB
GCF_000006645_03794 group_8489
GCF_000006645_03799 group_8864
GCF_000006645_03801 group_8666
GCF_000006645_03802 uhpB
GCF_000006645_03803 uhpC
GCF_000006645_03805 group_2807
GCF_000006645_03806 group_641
GCF_000006645_03807 group_9809
GCF_000006645_03808 dppA
GCF_000006645_03809 dppB
GCF_000006645_03810 dppC_1
GCF_000006645_03811 dppD_1
GCF_000006645_03812 group_8465
GCF_000006645_03813 bcsZ
GCF_000006645_03814 pdeK
GCF_000006645_03815 kdgM_1
GCF_000006645_03816 pelW_1
GCF_000006645_03817 group_9744
GCF_000006645_03818 dctA
GCF_000006645_03819 group_4579
GCF_000006645_03820 yhjJ
GCF_000006645_03821 kdgK
GCF_000006645_03822 group_9950
GCF_000006645_03823 pdeH_1
GCF_000006645_03824 group_1466
GCF_000006645_03825 cdh
GCF_000006645_03826 yhjD
GCF_000006645_03827 group_849
GCF_000006645_03828 group_2815
GCF_000006645_03829 group_2816
GCF_000006645_03830 group_2817
GCF_000006645_03831 glxK
GCF_000006645_03832 gntP_1
GCF_000006645_03833 cdaR
GCF_000006645_03834 gor
GCF_000006645_03835 rlmJ
GCF_000006645_03836 prlC
GCF_000006645_03837 rsmJ
GCF_000006645_03838 prtA
GCF_000006645_03839 gdhA
GCF_000006645_03840 uspA
GCF_000006645_03841 uspB
GCF_000006645_03843 pitA
GCF_000006645_03844 group_973
GCF_000006645_03845 group_1393
GCF_000006645_03846 group_1396
GCF_000006645_03847 rbsC_1
GCF_000006645_03848 group_8554
GCF_000006645_03849 group_8819
GCF_000006645_03850 fbaA_1
GCF_000006645_03851 RBKS
GCF_000006645_03852 ompR_1
GCF_000006645_03853 group_4580
GCF_000006645_03854 yhhW
GCF_000006645_03855 gntR_1
GCF_000006645_03856 gntT
GCF_000006645_03857 gntK_1
GCF_000006645_03858 group_1847
GCF_000006645_03859 group_4582
GCF_000006645_03860 group_3665
GCF_000006645_03861 group_9132
GCF_000006645_03862 asd
GCF_000006645_03863 group_4583
GCF_000006645_03864 group_1848
GCF_000006645_03865 group_1397
GCF_000006645_03866 group_4584
GCF_000006645_03867 group_251
GCF_000006645_03868 btsS
GCF_000006645_03869 glgB
GCF_000006645_03870 glgX
GCF_000006645_03871 glgC
GCF_000006645_03872 glgA
GCF_000006645_03873 malP_1
GCF_000006645_03874 glpD
GCF_000006645_03875 group_2834
GCF_000006645_03876 group_2835
GCF_000006645_03877 group_8428
GCF_000006645_03878 group_9107
GCF_000006645_03879 glpR_1
GCF_000006645_03880 glpG
GCF_000006645_03881 glpE
GCF_000006645_03882 malT
GCF_000006645_03883 group_4585
GCF_000006645_03884 malP_2
GCF_000006645_03885 malQ
GCF_000006645_03886 nfuA
GCF_000006645_03887 group_9534
GCF_000006645_03888 bioH
GCF_000006645_03889 group_9748
GCF_000006645_03890 feoC
GCF_000006645_03891 feoB
GCF_000006645_03892 feoA
GCF_000006645_03893 yhgF
GCF_000006645_03894 greB
GCF_000006645_03895 ompR_2
GCF_000006645_03896 envZ
GCF_000006645_03897 pckA
GCF_000006645_03898 hslO
GCF_000006645_03899 hslR
GCF_000006645_03900 yrfG
GCF_000006645_03901 igaA
GCF_000006645_03902 group_9959
GCF_000006645_03903 nudE
GCF_000006645_03904 mrcA
GCF_000006645_03905 group_9938
GCF_000006645_03906 group_2842
GCF_000006645_03907 group_9708
GCF_000006645_03908 group_2844
GCF_000006645_03909 sctC_1
GCF_000006645_03910 aroK
GCF_000006645_03911 aroB
GCF_000006645_03912 damX
GCF_000006645_03913 dam
GCF_000006645_03914 rpe
GCF_000006645_03915 gph
GCF_000006645_03916 trpS
GCF_000006645_03917 cysG_1
GCF_000006645_03918 nirC
GCF_000006645_03919 nirD
GCF_000006645_03920 nasD
GCF_000006645_03921 codA
GCF_000006645_03922 tsgA
GCF_000006645_03923 btuB_1
GCF_000006645_03924 ascG
GCF_000006645_03925 licH
GCF_000006645_03926 ppiA
GCF_000006645_03927 group_1974
GCF_000006645_03928 pabA
GCF_000006645_03929 argD
GCF_000006645_03930 group_9895
GCF_000006645_03931 crp
GCF_000006645_03932 yhfA
GCF_000006645_03933 group_3671
GCF_000006645_03934 cfxP
GCF_000006645_03935 group_2847
GCF_000006645_03936 group_8537
GCF_000006645_03937 eamB
GCF_000006645_03938 tauA
GCF_000006645_03939 tauB
GCF_000006645_03940 ssuC_1
GCF_000006645_03941 tauD
GCF_000006645_03942 rfaQ_2
GCF_000006645_03943 arnC_1
GCF_000006645_03944 yheS_2
GCF_000006645_03945 yheS_1
GCF_000006645_03946 ywrO
GCF_000006645_03947 kefC
GCF_000006645_03948 group_8256
GCF_000006645_03949 slyD
GCF_000006645_03950 slyX
GCF_000006645_03951 fkpA
GCF_000006645_03952 dauR
GCF_000006645_03953 tusD
